"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
90,"?",77053,"HS-grad",9,"Widowed","?","Not-in-family","White","Female",0,4356,40,"United-States","<=50K"
82,"Private",132870,"HS-grad",9,"Widowed","Exec-managerial","Not-in-family","White","Female",0,4356,18,"United-States","<=50K"
66,"?",186061,"Some-college",10,"Widowed","?","Unmarried","Black","Female",0,4356,40,"United-States","<=50K"
54,"Private",140359,"7th-8th",4,"Divorced","Machine-op-inspct","Unmarried","White","Female",0,3900,40,"United-States","<=50K"
41,"Private",264663,"Some-college",10,"Separated","Prof-specialty","Own-child","White","Female",0,3900,40,"United-States","<=50K"
34,"Private",216864,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,3770,45,"United-States","<=50K"
38,"Private",150601,"10th",6,"Separated","Adm-clerical","Unmarried","White","Male",0,3770,40,"United-States","<=50K"
74,"State-gov",88638,"Doctorate",16,"Never-married","Prof-specialty","Other-relative","White","Female",0,3683,20,"United-States",">50K"
68,"Federal-gov",422013,"HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Female",0,3683,40,"United-States","<=50K"
41,"Private",70037,"Some-college",10,"Never-married","Craft-repair","Unmarried","White","Male",0,3004,60,"?",">50K"
45,"Private",172274,"Doctorate",16,"Divorced","Prof-specialty","Unmarried","Black","Female",0,3004,35,"United-States",">50K"
38,"Self-emp-not-inc",164526,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2824,45,"United-States",">50K"
52,"Private",129177,"Bachelors",13,"Widowed","Other-service","Not-in-family","White","Female",0,2824,20,"United-States",">50K"
32,"Private",136204,"Masters",14,"Separated","Exec-managerial","Not-in-family","White","Male",0,2824,55,"United-States",">50K"
51,"?",172175,"Doctorate",16,"Never-married","?","Not-in-family","White","Male",0,2824,40,"United-States",">50K"
46,"Private",45363,"Prof-school",15,"Divorced","Prof-specialty","Not-in-family","White","Male",0,2824,40,"United-States",">50K"
45,"Private",172822,"11th",7,"Divorced","Transport-moving","Not-in-family","White","Male",0,2824,76,"United-States",">50K"
57,"Private",317847,"Masters",14,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2824,50,"United-States",">50K"
22,"Private",119592,"Assoc-acdm",12,"Never-married","Handlers-cleaners","Not-in-family","Black","Male",0,2824,40,"?",">50K"
34,"Private",203034,"Bachelors",13,"Separated","Sales","Not-in-family","White","Male",0,2824,50,"United-States",">50K"
37,"Private",188774,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,2824,40,"United-States",">50K"
29,"Private",77009,"11th",7,"Separated","Sales","Not-in-family","White","Female",0,2754,42,"United-States","<=50K"
61,"Private",29059,"HS-grad",9,"Divorced","Sales","Unmarried","White","Female",0,2754,25,"United-States","<=50K"
51,"Private",153870,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2603,40,"United-States","<=50K"
61,"?",135285,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,2603,32,"United-States","<=50K"
21,"Private",34310,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2603,40,"United-States","<=50K"
33,"Private",228696,"1st-4th",2,"Married-civ-spouse","Craft-repair","Not-in-family","White","Male",0,2603,32,"Mexico","<=50K"
49,"Private",122066,"5th-6th",3,"Married-civ-spouse","Other-service","Husband","White","Male",0,2603,40,"Greece","<=50K"
37,"Self-emp-inc",107164,"10th",6,"Never-married","Transport-moving","Not-in-family","White","Male",0,2559,50,"United-States",">50K"
